,path,link,name,dvornik
28,"Audi,100,C3 (82-90) седан",https://avto-dvorniki.ru/car/audi/100/0448/,Стеклоочистители для Audi 100 C3 (82-90) седан,",Комплект Bosch AeroTwin AR530S,Комплект Bosch AeroTwin (AR21U+AR21U),Комплект Trico Ice (ICE530+ICE530),Комплект Denso Hybrid (DUR-053L+DUR-053L),Комплект Alca Super Flat (ASF53+ASF53),Комплект Heyner Hybrid (HG53+HG53),Комплект Alca Winter (AW53+AW53),Комплект Trico NeoForm (NF530+NF530),Комплект Hella Razor Hybrid (21+21),Комплект Hella Dyna Blade (WBU21+WBU21),Комплект SWF VisioNext (119853+119853),Комплект Trico Force (TF530L+TF530L)"
29,"Audi,80,B4, (91-96)",https://avto-dvorniki.ru/car/audi/80/0454/,"Стеклоочистители для Audi 80 B4, (91-96)",",Комплект Bosch AeroTwin AR530S,Комплект Bosch AeroTwin (AR21U+AR21U),Комплект Denso Hybrid (DUR-053L+DUR-053L),Комплект Alca Super Flat (ASF53+ASF53),Комплект Heyner Hybrid (HG53+HG53),Комплект Alca Winter (AW53+AW53),Комплект Trico NeoForm (NF530+NF530),Комплект Hella Razor Hybrid (21+21),Комплект SWF VisioNext (119853+119853)"
30,"Audi,A1,8X (11-) 5 дверей, Sportback",https://avto-dvorniki.ru/car/audi/a1/1488/,"Стеклоочистители для Audi A1 8X (11-) 5 дверей, Sportback",",Комплект Bosch AeroTwin Plus (AP600U+AP380U),Комплект Heyner Hybrid (HG60+HG38),Комплект Alca Winter (AW60+AW38),Комплект Denso Flat DF-013,Комплект SWF VisioFlex 119260,Комплект Valeo HydroConnect Front (HF60+HF38),Комплект Heyner All Seasons (HAS60+HAS38)"
31,"Audi,A1,8X (10-) 3 двери",https://avto-dvorniki.ru/car/audi/a1/1486/,Стеклоочистители для Audi A1 8X (10-) 3 двери,",Комплект Bosch AeroTwin Plus (AP600U+AP380U),Комплект Heyner Hybrid (HG60+HG38),Комплект Alca Winter (AW60+AW38),Комплект Denso Flat DF-013,Комплект SWF VisioFlex 119260,Комплект Valeo HydroConnect Front (HF60+HF38),Комплект Heyner All Seasons (HAS60+HAS38)"
32,"Audi,A3,8V, (12-) хэтчбек",https://avto-dvorniki.ru/car/audi/a3/0459/,"Стеклоочистители для Audi A3 8V, (12-) хэтчбек",",Комплект Bosch AeroTwin A863S,Комплект Denso Flat DF-016,Комплект Trico Ice (ICE650+ICE450),Комплект Bosch AeroTwin Plus (AP650U+AP450U),Комплект SWF VisioFlex 119272,Комплект Alca Super Flat (ASF65+ASF45),Комплект Heyner Hybrid (HG65+HG45),Комплект Heyner All Seasons (HAS65+HAS45),Комплект Alca Winter (AW65+AW45),Комплект Valeo HydroConnect Front (HF65+HF45),Комплект Trico NeoForm (NF6513+NF4513)"
33,"Audi,A3,8V, (12-) седан",https://avto-dvorniki.ru/car/audi/a3/0458/,"Стеклоочистители для Audi A3 8V, (12-) седан",",Комплект Bosch AeroTwin A863S,Комплект Denso Flat DF-016,Комплект Trico Ice (ICE650+ICE450),Комплект Bosch AeroTwin Plus (AP650U+AP450U),Комплект SWF VisioFlex 119272,Комплект Alca Super Flat (ASF65+ASF45),Комплект Heyner Hybrid (HG65+HG45),Комплект Heyner All Seasons (HAS65+HAS45),Комплект Alca Winter (AW65+AW45),Комплект Valeo HydroConnect Front (HF65+HF45)"
34,"Audi,A3,8PA, (04-12) sportback",https://avto-dvorniki.ru/car/audi/a3/1436/,"Стеклоочистители для Audi A3 8PA, (04-12) sportback",",Комплект Bosch AeroTwin Multi-Clip AM462S,Комплект Valeo HydroConnect Front (HF60+HF48)"
35,"Audi,A3,8P, (04-12) рестайлинг",https://avto-dvorniki.ru/car/audi/a3/0457/,"Стеклоочистители для Audi A3 8P, (04-12) рестайлинг",",Комплект Bosch AeroTwin Plus (AP600U+AP475U),Комплект Bosch AeroTwin A929S,Комплект Bosch AeroTwin Multi-Clip AM462S,Комплект Heyner Hybrid (HG60+HG48),Комплект Alca Winter (AW60+AW48),Комплект Denso Flat DF-019,Комплект Valeo HydroConnect Front (HF60+HF48),Комплект SWF VisioFlex 119363,Комплект Valeo First Multiconnection (VFB60+VFB48)"
36,"Audi,A3,8P, (03-04)",https://avto-dvorniki.ru/car/audi/a3/0456/,"Стеклоочистители для Audi A3 8P, (03-04)",",Комплект Bosch AeroTwin Plus (AP600U+AP475U),Комплект Bosch AeroTwin Multi-Clip AM462S,Комплект Bosch AeroTwin A936S,Комплект Trico Ice (ICE600+ICE480),Комплект Heyner Hybrid (HG60+HG48),Комплект Alca Winter (AW60+AW48),Комплект Denso Flat DF-103,Комплект SWF VisioFlex 119355,Комплект Valeo Silencio Flat VF310 / VM310,Комплект Valeo HydroConnect Front (HF60+HF48),Комплект Valeo First Multiconnection (VFB60+VFB48),Комплект Hella Dyna Blade (WBU24+WBU19),Комплект Trico NeoForm (NF606+NF486),Комплект Trico Force (TF600L+TF480L)"
37,"Audi,A3,8L, (96-03)",https://avto-dvorniki.ru/car/audi/a3/0455/,"Стеклоочистители для Audi A3 8L, (96-03)",",Комплект Bosch AeroTwin AR533S,Комплект Bosch AeroTwin (AR21U+AR19U),Комплект Trico Ice (ICE530+ICE480),Комплект Alca Super Flat (ASF53+ASF48),Комплект Heyner Hybrid (HG53+HG48),Комплект Alca Winter (AW53+AW48),Комплект Trico NeoForm (NF530+NF480),Комплект Valeo HydroConnect Upgrade (HU53+HU48),Комплект SWF VisioFlex 119728,Комплект Valeo First Multiconnection (VFB53+VFB48),Комплект Hella Razor Hybrid (21+19),Комплект Hella Dyna Blade (WBU21+WBU19),Комплект SWF VisioNext (119853+119848),Комплект Denso Flat (DFR-005+DFR-003),Комплект Trico Force (TF530L+TF480L)"
38,"Audi,A4,B9, (15-) универсал",https://avto-dvorniki.ru/car/audi/a4/1501/,"Стеклоочистители для Audi A4 B9, (15-) универсал",",Комплект Bosch AeroTwin A297S,Комплект Bosch AeroTwin Plus (AP600U+AP500U),Комплект Heyner Hybrid (HG60+HG50),Комплект OEM VAG Front 8W1 998 002"
39,"Audi,A4,B9, (15-) седан",https://avto-dvorniki.ru/car/audi/a4/1493/,"Стеклоочистители для Audi A4 B9, (15-) седан",",Комплект Bosch AeroTwin A297S,Комплект Bosch AeroTwin Plus (AP600U+AP500U),Комплект Heyner Hybrid (HG60+HG50),Комплект Alca Winter (AW60+AW50),Комплект OEM VAG Front 8W1 998 002"
40,"Audi,A4,B8, (12-15) универсал",https://avto-dvorniki.ru/car/audi/a4/0469/,"Стеклоочистители для Audi A4 B8, (12-15) универсал",",Комплект Bosch AeroTwin A297S,Комплект Bosch AeroTwin Plus (AP600U+AP500U),Комплект Heyner Hybrid (HG60+HG50),Комплект Alca Winter (AW60+AW50),Комплект Valeo HydroConnect Front (HF60+HF50),Комплект OEM VAG Front 8K1 998 002 A"
41,"Audi,A4,B8, (12-15) седан",https://avto-dvorniki.ru/car/audi/a4/0468/,"Стеклоочистители для Audi A4 B8, (12-15) седан",",Комплект Bosch AeroTwin A297S,Комплект Denso Flat DF-007,Комплект Valeo HydroConnect Front (HF60+HF50),Комплект OEM VAG Front 8K1 998 002 A"
42,"Audi,A4,B8, (07-11) универсал",https://avto-dvorniki.ru/car/audi/a4/0467/,"Стеклоочистители для Audi A4 B8, (07-11) универсал",",Комплект Bosch AeroTwin A297S,Комплект Bosch AeroTwin Plus (AP600U+AP500U),Комплект Valeo Silencio Flat VF362 / VM362,Комплект Heyner Hybrid (HG60+HG50),Комплект Alca Winter (AW60+AW50),Комплект Trico NeoForm (NF6013+NF5013),Комплект Valeo HydroConnect Front (HF60+HF50),Комплект OEM VAG Front 8K1 998 002 A"
43,"Audi,A4,B8, (07-11) седан",https://avto-dvorniki.ru/car/audi/a4/0466/,"Стеклоочистители для Audi A4 B8, (07-11) седан",",Комплект Bosch AeroTwin A297S,Комплект Bosch AeroTwin Plus (AP600U+AP500U),Комплект Valeo Silencio Flat VF362 / VM362,Комплект Heyner Hybrid (HG60+HG50),Комплект Alca Winter (AW60+AW50),Комплект Denso Flat DF-007,Комплект Trico NeoForm (NF6013+NF5013),Комплект Valeo HydroConnect Front (HF60+HF50),Комплект OEM VAG Front 8K1 998 002 A"
44,"Audi,A4,B7, (05-07) универсал",https://avto-dvorniki.ru/car/audi/a4/0465/,"Стеклоочистители для Audi A4 B7, (05-07) универсал",",Комплект Bosch AeroTwin A933S,Комплект SWF VisioFlex 119323,Комплект Valeo Silencio Flat VF302 / VM302,Комплект Denso Flat DF-008"
45,"Audi,A4,B7, (04-08) седан",https://avto-dvorniki.ru/car/audi/a4/0464/,"Стеклоочистители для Audi A4 B7, (04-08) седан",",Комплект Bosch AeroTwin A933S,Комплект SWF VisioFlex 119323,Комплект Valeo Silencio Flat VF302 / VM302,Комплект Denso Flat DF-008"
46,"Audi,A4,B6, (01-05) универсал",https://avto-dvorniki.ru/car/audi/a4/0463/,"Стеклоочистители для Audi A4 B6, (01-05) универсал",",Комплект Bosch Twin 909,Комплект SWF Original 116342"
47,"Audi,A4,B6, (01-05) седан",https://avto-dvorniki.ru/car/audi/a4/0462/,"Стеклоочистители для Audi A4 B6, (01-05) седан",",Комплект Bosch Twin 909,Комплект SWF Original 116342"
48,"Audi,A4,B5, (94-01) универсал",https://avto-dvorniki.ru/car/audi/a4/0461/,"Стеклоочистители для Audi A4 B5, (94-01) универсал",",Комплект Bosch AeroTwin AR530S,Комплект Bosch AeroTwin (AR21U+AR21U),Комплект Trico Ice (ICE530+ICE530),Комплект Alca Super Flat (ASF53+ASF53),Комплект Heyner Hybrid (HG53+HG53),Комплект Alca Winter (AW53+AW53),Комплект Trico NeoForm (NF530+NF530),Комплект Valeo HydroConnect Upgrade (HU53+HU53),Комплект Hella Razor Hybrid (21+21),Комплект Hella Dyna Blade (WBU21+WBU21),Комплект SWF VisioNext (119853+119853),Комплект Trico Force (TF530L+TF530L),Комплект Denso Flat (DFR-005+DFR-005)"
49,"Audi,A4,B5, (94-01) седан",https://avto-dvorniki.ru/car/audi/a4/0460/,"Стеклоочистители для Audi A4 B5, (94-01) седан",",Комплект Bosch AeroTwin AR530S,Комплект Bosch AeroTwin (AR21U+AR21U),Комплект Trico Ice (ICE530+ICE530),Комплект Alca Super Flat (ASF53+ASF53),Комплект Heyner Hybrid (HG53+HG53),Комплект Alca Winter (AW53+AW53),Комплект Trico NeoForm (NF530+NF530),Комплект Valeo HydroConnect Upgrade (HU53+HU50),Комплект Hella Razor Hybrid (21+21),Комплект Hella Dyna Blade (WBU21+WBU21),Комплект SWF VisioNext (119853+119850),Комплект Trico Force (TF530L+TF530L)"
50,"Audi,A4 Allroad,B9 (16-)",https://avto-dvorniki.ru/car/audi/a4_allroad/1709/,Стеклоочистители для Audi A4 Allroad B9 (16-),",Комплект Bosch AeroTwin A297S,Комплект Bosch AeroTwin Plus (AP600U+AP500U),Комплект Valeo Silencio Flat VF362 / VM362,Комплект Heyner Hybrid (HG60+HG50),Комплект Heyner All Seasons (HAS60+HAS50),Комплект Alca Winter (AW60+AW50),Комплект Denso Flat DF-007,Комплект Valeo HydroConnect Front (HF60+HF50),Комплект OEM VAG Front 8W1 998 002"
51,"Audi,A4 Allroad,B8 (09-16)",https://avto-dvorniki.ru/car/audi/a4_allroad/1639/,Стеклоочистители для Audi A4 Allroad B8 (09-16),",Комплект Bosch AeroTwin A297S,Комплект Bosch AeroTwin Plus (AP600U+AP500U),Комплект Valeo Silencio Flat VF362 / VM362,Комплект Heyner Hybrid (HG60+HG50),Комплект Heyner All Seasons (HAS60+HAS50),Комплект Alca Winter (AW60+AW50),Комплект Denso Flat DF-007,Комплект Valeo HydroConnect Front (HF60+HF50)"
52,"Audi,A5,(17-) Sportback",https://avto-dvorniki.ru/car/audi/a5/1817/,Стеклоочистители для Audi A5 (17-) Sportback,",Комплект Bosch AeroTwin A297S,Комплект Trico Ice (ICE600+ICE500),Комплект Bosch AeroTwin Plus (AP600U+AP500U),Комплект Valeo Silencio Flat VF362 / VM362,Комплект Heyner Hybrid (HG60+HG50),Комплект Heyner All Seasons (HAS60+HAS50),Комплект Alca Winter (AW60+AW50),Комплект Denso Flat DF-007,Комплект Trico NeoForm (NF6013+NF5013),Комплект OEM VAG Front 8W1 998 002"
